Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year
Bradford Burgess,VCU,36,32.3,13.4,3.9,10.8,0.365,2.3,6.1,0.367,3.3,4.2,0.793,1.2,3.8,5,1.6,1.1,0.3,1.3,2.3,2012
Bradley Beal,UF,37,34.3,14.8,4.7,10.6,0.445,1.7,5,0.339,3.6,4.7,0.769,1.4,5.4,6.7,2.2,1.4,0.8,2.1,2.1,2012
Brady Manek,UNC,39,30.5,15.1,5.6,11.4,0.493,2.5,6.2,0.403,1.4,1.9,0.697,1.5,4.6,6.1,1.8,0.6,0.7,1.5,1.7,2022
Branden Carlson,U of U,24,25.9,13.6,5.3,10.5,0.51,0.7,2.3,0.309,2.3,2.8,0.818,1.6,4.3,6,1.1,0.3,1.6,1.5,1.8,2022
Branden Frazier,FORD,31,36.8,18.2,6,15.1,0.397,1.5,5.1,0.283,4.8,5.6,0.855,1.5,3.5,5.1,4.3,1.1,0.3,3,2.3,2014
Brandon Anderson,BU,25,35.1,17.7,5.6,15.4,0.364,1.9,6.4,0.3,4.6,5.6,0.821,0.9,2.9,3.8,3,1.6,0.2,3.6,2,2020
Brandon Betson,CSU,32,34.4,14.2,5,13,0.384,2.5,6.7,0.371,1.8,2.1,0.836,0.4,2.1,2.4,2.8,0.8,0.1,3.1,2.4,2022
Brandon Bos,USD,33,30.9,13.8,4.5,12.1,0.369,1.5,4.2,0.348,3.5,4.2,0.826,0.9,2.7,3.6,2.2,0.4,0.1,2.2,1.6,2015
Brandon Boyd,ISU,30,30,14.2,5,12.1,0.41,1.2,4,0.292,3.1,3.9,0.797,0.4,2,2.5,3.6,1,0.1,2.5,1.7,2019
Brandon Britt,W&M,30,30.6,13.9,4.7,9.6,0.488,1.4,3.6,0.376,3.1,4.6,0.681,0.4,2.1,2.5,2,1.1,0.1,2,1.8,2013
Brandon Childress,WF,30,35.4,15.6,4.8,12,0.404,1.7,5.1,0.325,4.2,5.2,0.809,0.4,2.6,3,4.6,1.2,0,2.9,2.4,2020
Brandon Clark,SCU,32,32.7,15.8,5.1,13.6,0.376,1.6,5.5,0.282,4.1,4.8,0.856,0.4,3.3,3.7,3.9,0.9,0,2.1,2.6,2015
