Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,Year
Beau Becker,AF,.513,.505,135.4,5.0,17.3,11.3,9.8,7.6,1.2,4.4,21.4,0.3,1.1,103.6,104.7,-1.1,145.4,15.8,2023
Chendall Weaver,UTA,.555,.515,154.8,5.9,13.0,9.2,13.7,11.9,1.8,1.5,16.6,0.6,1.3,117.4,102.0,15.4,241.4,15.8,2023
Luis Kortright,QUIN,.453,.432,124.0,3.4,14.8,9.2,29.5,15.8,2.9,0.3,25.5,1.7,1.1,97.6,98.2,-0.6,226.0,15.8,2023
Terry Roberts,UGA,.474,.436,143.9,3.1,11.8,7.5,32.7,17.9,2.9,0.6,28.7,-1.2,1.1,95.0,103.3,-8.3,212.3,15.8,2023
Coleman Hawkins,ILL,.522,.507,133.5,7.1,15.4,11.4,17.2,20.6,1.9,3.6,18.2,-1.3,1.2,103.2,95.4,7.8,325.3,15.8,2023
"Yaakema Rose, Jr.",EIU,.453,.421,129.3,3.8,14.0,8.9,27.7,12.9,3.6,0.7,23.1,3.2,1.0,97.3,98.9,-1.6,185.0,15.8,2023
Toneari Lane,WIN,.574,.558,156.8,2.5,9.3,6.1,4.5,5.9,0.9,1.4,20.1,-0.8,1.2,117.0,112.6,4.4,173.6,15.8,2023
K.J. Jenkins,UNM,.575,.556,163.5,1.0,9.9,5.7,9.3,8.6,2.2,0.3,18.6,0.3,1.2,115.5,104.0,11.5,146.8,15.8,2023
Anthony Selden,GWU,.540,.527,140.2,6.3,13.9,10.1,7.2,16.9,1.5,4.2,24.4,-5.7,1.2,99.0,96.6,2.4,191.6,15.8,2023
Kristians Feierbergs,MAINE,.570,.565,145.1,6.6,19.9,13.1,6.8,14.9,1.7,1.2,19.9,-3.3,1.2,105.0,104.3,0.6,146.8,15.8,2023
Bash Wieland,BELL,.601,.549,151.2,2.3,15.5,8.9,14.0,10.1,1.1,0.0,17.3,1.1,1.5,120.0,110.2,9.8,53.5,15.8,2023
Alex Karaban,UConn,.616,.597,168.7,6.6,12.0,9.4,10.1,13.5,1.1,2.6,14.9,-0.2,1.3,125.6,96.5,29.1,310.4,15.8,2023
Allin Blunt,UML,.603,.546,166.7,4.7,8.4,6.7,9.9,13.5,1.5,0.7,16.7,-0.6,1.5,124.7,97.9,26.9,216.0,15.8,2023
Boogie Anderson,SELU,.515,.493,113.5,3.8,9.9,6.8,25.7,19.0,2.1,0.3,25.1,-1.0,1.2,99.8,107.6,-7.8,254.3,15.7,2023
