Victor Wembanyama
Brandon Miller
Scoot Henderson
Amen Thompson
Ausar Thompson
Anthony Black
Bilal Coulibaly 
Jarace Walker
Taylor Hendricks
Cason Wallace
Jett Howard
Dereck Lively
Gradey Dick
Jordan Hawkins
Kobe Bufkin
Keyonte George
Jalen Hood-Schifino
Jaime Jaquez Jr.
Brandin Podziemski
Cam Whitmore
Noah Clowney
Dariq Whitehead
Kris Murray
Olivier-Maxence Prosper
Marcus Sasser
Ben Sheppard
Nick Smith Jr.
Brice Sensabaugh
Julian Strawther
Kobe Brown
