Player Name,Ranking ,Year,College Year,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER
Jaren Jackson Jr.,4,2019,2018,MSU,0.647,0.595,170.6,8.8,19.7,14.9,9.3,17.4,1.6,14.2,23.5,-4.8,1.6,120.7,85.8,34.9,370.4,25.1
Kendrick Nunn,2,2020,2019,OU,0.58,0.547,166.7,2.7,11.1,7,23.4,11.6,2.2,0.9,32.6,-1.1,1.3,113.2,107,6.1,433,22.9
Collin Sexton,5,2019,2018,UA,0.567,0.498,156.1,4.1,9.8,7,27.7,14.2,1.6,0.3,32.9,-1.3,1.4,113.1,104.8,8.3,328,22.4
Zion Williamson,3,2020,2019,DUKE,0.702,0.708,165.9,12.7,18.2,15.6,14.6,12.8,3.8,5.8,28.4,-3.1,1.7,133.6,86.4,47.3,677.4,37.8
Coby White,5,2020,2019,UNC,0.556,0.516,157.7,1.3,11.4,6.4,24.6,15.5,2,1.3,27,0.2,1.3,111,98.5,12.5,341.3,18.6
LaMelo Ball,1,2021,2020,ILL,0.464,0.427,135,5.6,20.5,12.4,36.9,12,2.6,0.6,27.7,6.3,1,105,111.8,-6.8,166.9,16.6
Tyrese Haliburton,3,2021,2020,ISU,0.631,0.611,174.6,4.5,13.3,8.9,33.8,18.7,3.7,2,19.8,4.1,1.4,121.2,97.4,23.7,375.9,25.6
Saddiq Bey,4,2021,2020,VILL,0.608,0.584,169.7,4.5,11.4,8,14.8,10.1,1.3,1.1,22.8,0.3,1.4,121.1,99.9,21.1,335.4,22
Anthony Edwards,2,2021,2020,UGA,0.52,0.473,146.8,2.5,14.8,8.7,17.9,12.9,2.3,1.7,30.4,-2.4,1.2,105.7,102.6,3.1,328.4,21.6
Jalen Green,4,2022,2021,IGN,0.613,0.537,165.4,1.9,11.6,6.9,13.5,15.4,2.3,0.8,23.2,-2.5,1.3,102.2,111.9,-9.7,166.6,15.4
Evan Mobley,2,2022,2021,USC,0.624,0.595,157.2,9.7,18.9,14.6,14.2,14.6,1.4,8.8,22.9,-2,1.6,123.4,90.3,33.1,545.9,29.8
Franz Wagner,5,2022,2021,UM,0.587,0.544,165.6,2.9,19.5,12.1,17.3,10.8,2.3,3.2,19.7,2.3,1.3,121.8,91.3,30.5,347.6,22.9
Cade Cunningham,3,2022,2021,OSU,0.574,0.515,168.4,2.3,16.2,9.5,20.8,18.7,2.5,2.3,29.2,-4.6,1.4,106,95.6,10.5,331,22.5
Scottie Barnes,1,2022,2021,FSU,0.548,0.531,139.9,7.3,11,9.3,31.5,20.7,3.4,2.1,23.7,1.1,1.3,109.5,97,12.5,216.8,22.1
Walker Kessler,3,2023,2022,AU,0.627,0.627,140.4,10.9,22.2,16.6,6.9,10.7,2.4,19,18.9,-1.9,1.5,126,82.3,43.7,523.4,31.3
Paolo Banchero,1,2023,2022,DUKE,0.557,0.52,154.5,6.4,19,13.2,17.5,13.3,1.9,2.7,27.4,-0.7,1.3,113.8,97.2,16.6,532.3,24.8
Jalen Williams,2,2023,2022,SCU,0.601,0.562,171.8,2,11.7,7.2,22.6,12.3,1.9,1.5,24.9,1.9,1.4,118.5,101.6,16.8,417.6,23.3
Bennedict Mathurin,4,2023,2022,U of A,0.576,0.536,158.3,5.1,12.5,9.2,13.7,10.4,1.6,0.8,24.9,-0.3,1.4,119.8,95.8,24,434,21.6
