Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Year
Taylor Brown,BU,28,31.3,14.8,5.1,12.1,0.419,0.9,2.8,0.321,3.8,4.6,0.814,2,4.4,6.4,1.6,1,0.5,2.3,2.8,2012
Jordan Taylor,UW,36,36,14.8,4.6,11.5,0.402,1.8,4.9,0.369,3.8,4.8,0.785,0.9,2.9,3.8,4.1,1,0,1.6,2,2012
Deonte Burton,UNR,35,32.9,14.8,4.2,10.5,0.402,1.7,4.5,0.372,4.7,5.9,0.797,0.4,2.2,2.6,4.2,1.1,0.4,2,2.3,2012
Kevin Giltner,WC,33,37.9,14.8,5,12.6,0.397,2.6,7.3,0.357,2.2,2.7,0.789,0.6,3.6,4.2,1.8,0.9,0.2,2,2.2,2012
Bradley Beal,UF,37,34.3,14.8,4.7,10.6,0.445,1.7,5,0.339,3.6,4.7,0.769,1.4,5.4,6.7,2.2,1.4,0.8,2.1,2.1,2012
Tony Mitchell,UNT,23,29.4,14.7,5.1,9,0.567,0.8,1.8,0.439,3.7,5,0.739,2.5,7.8,10.3,1.6,0.9,3,2.8,3,2012
D.J. Cooper,OU,37,32.4,14.7,4.4,12.6,0.348,2,6.6,0.307,3.9,5.3,0.745,0.8,2.9,3.7,5.7,2.3,0.1,2.9,1.4,2012
Javon McCrea,UB,31,25.3,14.7,6.1,10.7,0.572,0,0,0,2.5,4.4,0.559,2.8,4.1,6.9,1.9,1,1.2,2.2,3.1,2012
Tyler Stone,SEMO,31,29.6,14.7,6.2,11.7,0.53,0.3,0.7,0.348,2,3.2,0.62,1.7,5.6,7.3,0.8,0.7,1.1,1.5,2.3,2012
C.J. Leslie,NCST,34,29,14.7,5.6,10.8,0.525,0.1,0.4,0.286,3.3,5.5,0.596,2.2,5.1,7.3,1.1,1.1,1.6,2.3,2.6,2012
Jarrod Jones,BSU,30,31.2,14.7,5.4,11.1,0.482,0.4,1.2,0.371,3.5,4.6,0.768,2.3,6.4,8.7,0.8,0.7,0.8,1.7,2.3,2012
Jonathon Simmons,U of H,30,30.1,14.7,5.1,10,0.512,1.1,2.8,0.386,3.4,4.7,0.716,1.4,3.6,5,2.2,0.7,0.4,3.3,2.5,2012
Kenny McGowen,ISU,30,29.5,14.7,4.5,12,0.379,2.2,6.9,0.325,3.4,4.3,0.783,0.4,1,1.4,2.2,0.9,0.1,2.4,3.2,2012
Damier Pitts,MU,35,34.1,14.7,5.1,12.4,0.416,2.1,6.1,0.34,2.3,3.3,0.711,0.5,1.9,2.4,4.3,1,0.1,3.2,2.5,2012
Brandon Paul,U of I,32,33.4,14.7,4.5,11.6,0.392,1.7,5.1,0.333,3.9,5.4,0.727,0.9,3.8,4.7,2.9,1.4,0.8,3.4,2.6,2012
Kelsey Howard,JSU,31,32.2,14.6,4.9,12.6,0.387,1.5,4.6,0.319,3.4,4.5,0.763,1.3,2.8,4.1,0.9,1,0.1,2.5,2.4,2012
Ray Willis,NCCU,32,32.4,14.6,4.3,9.9,0.432,0.8,2.4,0.316,5.3,6.7,0.794,1.2,4.4,5.6,2.7,1.3,0.7,3.4,2.3,2012
Ashton Gibbs,PITT,37,34.3,14.6,4.9,12.9,0.382,2.2,6.4,0.345,2.5,3,0.855,0.5,1.8,2.3,2.1,0.5,0.1,1.6,1,2012
LaRon Dendy,MTSU,34,27.5,14.6,5.1,9.7,0.53,0.4,1.1,0.308,4,6.9,0.574,2.1,5.1,7.1,2.1,0.6,1.4,2.4,2.7,2012
Devin Brown,HC,29,30.4,14.6,4.7,10.7,0.439,1.9,5.1,0.372,3.3,4.4,0.75,0.3,2.1,2.4,1.3,0.8,0.1,2.6,1.8,2012
Latif Rivers,WC,31,30.4,14.6,4.6,11.3,0.407,1.9,5.4,0.351,3.5,3.9,0.884,0.4,2.3,2.6,2.2,0.7,0.4,2.2,2.5,2012
Nathaniel Lester,HOF,32,32.4,14.6,4.8,12,0.397,0.6,2.3,0.26,4.4,5.7,0.77,2.9,3.7,6.5,1,1.3,0.5,1.8,2.5,2012
Darien Brothers,RICH,32,30.3,14.6,4.6,10.8,0.423,2.1,5.7,0.376,3.3,3.7,0.891,0.6,2.3,2.9,1.7,0.9,0.1,1.4,2.3,2012
Tim Hardaway Jr.,UM,34,34.1,14.6,4.9,11.8,0.418,1.6,5.5,0.283,3.2,4.4,0.715,0.8,3.1,3.8,2.1,0.5,0.3,1.9,2.1,2012
Brandon Young,DEP,31,30.5,14.5,5.2,12.4,0.423,1.2,4.1,0.281,2.9,3.8,0.765,0.5,2.1,2.6,4.7,1.6,0.1,2.4,1.3,2012
Jonathan Lee,NU,31,35.1,14.5,4.9,10.3,0.472,1.6,3.9,0.417,3.2,4.1,0.786,0.9,2.9,3.8,3.5,1.5,0.1,3.1,2.4,2012
Keith Clanton,UCF,33,32.9,14.5,5.3,11.6,0.461,1.2,3.5,0.336,2.7,4.6,0.586,3,5.1,8.1,1.8,1,1.8,2.4,2.8,2012
Parker Smith,UNF,32,27.4,14.5,4.5,10.3,0.435,3,7.3,0.41,2.6,3.1,0.838,0.3,2.2,2.4,1,0.7,0.1,1.8,1.6,2012
Scott Bamforth,WSU,31,32.1,14.5,4.3,9.8,0.439,2.5,6.2,0.401,3.4,3.9,0.875,0.5,3.1,3.6,2.4,0.9,0,1.8,2.1,2012
Anthony Miles,LU,35,31.9,14.5,4.3,9.8,0.436,0.8,2.3,0.367,5.2,6.3,0.815,1,3.7,4.6,4.1,1.7,0,2.3,2.1,2012
William Buford,OSU,39,33.8,14.5,5.3,12.5,0.419,1.6,4.4,0.358,2.4,2.9,0.825,0.9,4.1,5,2.7,0.8,0.2,2.2,1.8,2012
Kim English,MU,35,33.6,14.5,4.9,9.4,0.521,2.2,4.9,0.459,2.5,3.4,0.725,0.9,3.4,4.2,1.6,1.3,0.3,1.7,2.4,2012
Jack Isenbarger,ELON,29,29.3,14.5,4.6,10.3,0.445,2.5,6.3,0.399,2.8,3.2,0.871,0.4,3,3.4,2.7,0.8,0,1.8,2,2012
Chris Udofia,UD,31,29.9,14.5,5.3,10,0.534,0.7,2.3,0.292,3.1,4.3,0.724,1.6,3.5,5.2,2.6,0.7,2.3,2.4,3.1,2012
Brian Stafford,UD,31,33.3,14.5,4.7,9.5,0.498,2.4,5.3,0.457,2.6,3.2,0.818,0.5,1.3,1.8,2.1,1.1,0.2,1.3,2.1,2012
Drew Windler,SU,30,26,14.4,4.7,9.4,0.495,1.9,4.5,0.426,3.1,4.2,0.752,1.2,2.6,3.8,1.3,0.5,0.4,2.4,3,2012
Ryan Willen,LC,31,28.6,14.4,4.2,9.4,0.443,1,2.7,0.357,5.1,6.2,0.819,1.8,3.5,5.3,1.8,1,0.3,2,2.6,2012
Chavaughn Lewis,MAR,32,29.5,14.4,4.7,10.8,0.432,0.8,2.5,0.329,4.2,6.5,0.644,1.1,3.5,4.7,1.8,1.7,0.8,3,2.3,2012
Jake Cohen,DAV,33,24.8,14.3,4.6,9.4,0.487,0.9,2.5,0.366,4.3,4.9,0.876,2.1,4,6.1,1.4,0.7,1.7,2.1,3,2012
Vander Joaquim,UH,32,30.6,14.3,5.4,9.6,0.56,0,0,0,3.6,5.6,0.633,3.1,6.4,9.5,1,0.7,1.8,2,3.1,2012
LaDontae Henton,PROV,32,37.2,14.3,5.3,11.6,0.454,1.4,3.5,0.393,2.4,3.4,0.706,2.8,5.8,8.6,1.1,1,1.1,1.7,2.4,2012
