Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,Year
Torye Pelham,USM,0.667,0.656,168.9,16.6,12.9,14.9,4.4,18.1,3.5,4.5,15,-4.2,1.6,127.5,94.2,33.3,228.3,22.4,2012
J'Covan Brown,UT,0.55,0.492,164.8,2.9,8.2,5.5,25.3,12.9,2,0.4,29.5,-0.4,1.3,115.8,102.7,13.1,357.3,22.4,2012
Reggie Chamberlain,UMKC,0.617,0.579,178.9,1.4,8.7,5,19.3,10.5,1.7,0.2,26.1,0,1.4,120.3,112.2,8.2,288.5,22.4,2012
Rashad Hassan,SST,0.579,0.581,154.5,7.7,20.5,13.7,11.2,15.5,0.7,3.1,29.5,-6.8,1.4,106,90.4,15.6,236.8,22.3,2012
Deshaun Thomas,OSU,0.596,0.574,162,9.8,10.7,10.3,6,8.3,0.7,0.9,23.4,-2,1.3,124.9,95.4,29.5,388.8,22.3,2012
Kyle Casey,HAR,0.589,0.551,158.9,6.5,22.4,15,8.5,16,2.2,5.1,27.2,-6,1.4,108.3,85.5,22.8,241.4,22.3,2012
Branden Dawson,MSU,0.584,0.577,117.1,13,12.5,12.8,9.6,16.2,2.8,4.7,21.3,-3.8,1.4,113,88.3,24.6,232.9,22.3,2012
Mason Plumlee,DUKE,0.568,0.572,110,12,24.5,18.5,11.7,18.2,1.6,5.2,21.2,-3.9,1.5,111.1,93.7,17.4,403.3,22.2,2012
Aaron White,UI,0.576,0.535,148.2,10.1,17.9,14,7.7,12.7,2.2,3,23.4,-3.4,1.4,115.6,104.2,11.4,299.9,22.2,2012
Ryan Kelly,DUKE,0.597,0.527,165.9,8.2,15.3,11.9,8.5,12.3,1.7,3.5,21.7,-2.4,1.5,124.4,98.1,26.3,284.5,22.2,2012
Tommy Brenton,SB,0.58,0.549,146.5,12.3,21.1,16.5,22.8,22.6,3.7,1,15.4,1.2,1.6,118.3,88.3,30,381.1,22.2,2012
Rhamel Brown,MAN,0.595,0.598,115.1,10.8,19.1,15,6.5,20,2.2,15,21.4,-6.7,1.5,104.3,87.5,16.8,260.1,22.2,2012
Kenny Boynton,UF,0.599,0.569,160.1,2,7.7,4.9,17.4,9.6,1.5,0.1,24.3,1.3,1.4,125.1,103.7,21.4,352.8,22.1,2012
Eric Buckner,GSU,0.601,0.62,112.7,10.2,16.2,13.2,2.7,13.3,1.2,13.5,17.6,-3.8,1.6,115.6,86.7,28.9,396.8,22.1,2012
Jeronne Maymon,UT,0.591,0.558,121.6,12.7,20.7,16.8,9.9,18.8,2.1,1.1,24.6,-6.3,1.6,110.4,95.4,15,327,22.1,2012
Velton Jones,RMU,0.505,0.42,144.4,3,8.8,5.8,36.3,14.5,3.9,0.1,31.6,1.2,1.3,111.1,97.6,13.5,315.8,22.1,2012
