Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,Year
J.T. Shumate,U of T,0.655,0.616,181.3,7.3,12.6,10,8.1,6.1,1,4.3,22,0.3,1.5,138.2,109.6,28.6,412.3,26.4,2023
Tyzhaun Claude,WCU,0.572,0.526,157.6,14.3,24.3,19.3,4.6,13.5,0.9,3.5,30.3,-6.7,1.4,112,98,14,338.1,26.4,2023
K.J. Williams,LSU,0.587,0.556,168.6,10.2,18.3,14.1,7.4,8.8,2.2,2.9,25.7,-2.6,1.3,120.5,104.1,16.4,431.1,26.3,2023
"Walter Clayton, Jr.",IONA,0.597,0.545,183.9,2.3,14.5,8.5,20.9,11.2,3.5,2.1,26.3,1.2,1.3,122,92.6,29.4,389.9,26.2,2023
Jordan Dingle,PENN,0.597,0.546,167.7,2.6,9.5,6.3,15.6,12.6,2,0.5,34.7,-4,1.4,114.5,105.9,8.6,320.4,26.2,2023
Branden Carlson,U of U,0.586,0.55,159.9,8.4,19.8,14.4,12.5,13.3,0.6,7.1,28.4,-3.9,1.4,113.4,91.9,21.4,389.8,26.2,2023
Brayden Parker,IDHST,0.585,0.555,160.7,8.6,19.4,13.9,17,13,1.5,5,29.2,-2.6,1.3,112.8,103.4,9.4,254.1,26.2,2023
Jordan Minor,MERRI,0.537,0.517,121.3,12.5,22.5,17.6,18.8,14.7,2.4,8.3,30.5,-3.8,1.4,104.8,84.6,20.2,419,26.2,2023
DeMarcus Sharpe,NSU,0.527,0.488,181.6,3,15.4,8.8,31.9,11.8,3.3,2.5,30.5,2.5,1.2,113.3,101.4,11.9,447,26.2,2023
Jaelen House,UNM,0.573,0.506,166.4,1.7,12.4,7.4,26.8,13.1,4.7,2.1,26.4,2.7,1.4,116.9,95.4,21.5,426.8,26.1,2023
Grant Basile,VT,0.616,0.601,162.1,6,17.5,11.9,13.3,11.2,0.9,4.3,28.6,-2,1.4,117.1,103.4,13.7,378.1,26.1,2023
Ante Brzovic,C of C,0.542,0.508,147.9,10.1,25.8,17.8,10.8,11.1,2.2,2.8,30.1,-3.6,1.3,113.2,89.8,23.3,288.3,26.1,2023
Ed Croswell,PROV,0.629,0.614,177.2,16.3,15,15.7,5,12.1,2.4,3.2,20.9,-3.5,1.6,127.1,100.5,26.5,387.9,26.1,2023
J'Wan Roberts,U of H,0.627,0.612,129.8,13.9,20.6,17.4,8.6,11.4,1.6,6.8,17.7,-0.9,1.5,131.1,86,45.1,430.5,25.9,2023
Vladislav Goldin,FAU,0.624,0.625,121.6,14.5,21.7,18.3,4.2,13.8,1,6.1,22.9,-4.9,1.6,120.9,91.3,29.6,350.4,25.8,2023
Terrion Murdix,TAMU-CC,0.565,0.508,165.8,5.8,13.1,9.5,37.8,15.7,4.6,0.9,24.4,4.9,1.3,120,95.7,24.3,380.6,25.8,2023
"Jameer Nelson, Jr.",DEL,0.56,0.502,152.7,3.8,12.7,8.1,23.7,14.3,4.1,1.9,32,-2,1.4,108.7,101,7.7,369.1,25.8,2023
D'Moi Hodge,MZZOU,0.626,0.611,161.1,3.1,13.4,8.2,10.5,6.2,5.1,2.1,22,1,1.4,126.4,100.4,26,406.1,25.8,2023
Toumani Camara,DAY,0.609,0.59,157.8,10.6,24,17.9,13.4,15.4,2.6,3.2,24.9,-3.4,1.5,115.3,88.7,26.6,433.4,25.7,2023
Isaih Moore,FRSNO,0.591,0.56,160.3,11.9,26.5,19.2,9.7,13.7,2.3,3.8,25.9,-4.2,1.4,112.9,96.1,16.8,200.3,25.7,2023
Kelton Talford,WIN,0.675,0.669,132.7,12.9,20.4,16.9,5.1,15.1,0.7,2.1,23.9,-5.4,1.8,125.4,109.8,15.6,366.9,25.7,2023
Chris Payton,KENT,0.716,0.73,136.6,11.5,24.5,18,4.5,12.2,1.1,7.6,16.3,-2.4,1.9,138.3,91.4,46.8,243.4,25.6,2023
Max Abmas,ORU,0.603,0.548,172.8,1.7,11.4,6.8,20,9.9,1.7,0.5,28,1.8,1.4,122.7,102.1,20.6,476.5,25.6,2023
Abou Ousmane,UNT,0.523,0.487,119.1,14.3,19.1,16.8,11.8,12.2,2.4,7.1,28.6,-3.6,1.2,110.6,88.2,22.4,287.5,25.6,2023
Marcus Sasser,U of H,0.597,0.548,166.9,1.4,9.2,5.5,19.4,10.3,3.2,0.7,26.4,1.5,1.4,126,89.9,36.1,391.1,25.5,2023
Ahmad Rand,UWM,0.63,0.622,147.1,12.6,16,14.4,5.6,12.6,2,12.2,18.3,-2.8,1.4,124.4,95.6,28.7,292.6,25.5,2023
Oumar Ballo,ARZ,0.634,0.647,121.2,10.4,24.4,18,10.8,14.2,1.4,4.8,22.9,-2.7,1.7,120.3,93.1,27.3,466.6,25.4,2023
Kalib Boone,OKST,0.623,0.588,159.1,12.5,15.3,13.9,11.5,17.1,1.8,6.3,24.5,-5.1,1.5,115.6,94,21.6,299.9,25.3,2023
Jermaine Marshall,SAMF,0.607,0.545,164.2,9.1,22.8,16.1,9.5,14.2,3,2.3,25.7,-4.2,1.5,119.5,96,23.5,304.6,25.3,2023
Cameron Parker,PORTL,0.646,0.561,178,0.9,13.5,6.8,36.1,15.4,1.8,0.2,23.5,4.4,1.8,127.5,106.8,20.7,421.5,25.3,2023
Kadin Shedrick,UVA,0.696,0.652,164.1,9.2,19.5,14.3,7.3,13.5,3,10.6,16.8,-1.9,1.8,132.3,87.9,44.4,207.5,25.3,2023
Tylor Perry,UNT,0.635,0.575,172.3,2.1,11.1,6.8,14.3,11.1,2.6,0.2,25.8,-1.1,1.5,129.1,94.6,34.5,378.3,25.2,2023
Max Fiedler,RICE,0.721,0.735,132.4,12.7,17.7,15.3,32.2,23.9,1.4,3.8,17,2.8,1.6,131.6,104.6,27,523.8,25.2,2023
Nelly Joseph,IONA,0.575,0.55,117.4,13.5,21.7,17.6,6.7,12.7,2.2,5,23.4,-3.6,1.5,117,91.8,25.2,471,25.2,2023
Josh Oduro,GMU,0.576,0.56,140,10.9,22.1,16.7,22.8,17.1,1.6,3.4,29.5,-3.7,1.4,109.2,95.2,14,399.8,25.2,2023
Nick Caldwell,SELU,0.587,0.546,169.8,11.7,18.7,15.2,7.4,11.2,2.5,4.8,24.5,-3,1.4,118.4,101.4,17,280.6,25.1,2023
Isaiah Moore,USA,0.563,0.538,145.1,1.9,9.8,6,31.1,14.7,2.2,0.7,32.1,0.7,1.3,109.2,99.4,9.8,383.9,25.1,2023
Callum McRae,CSUS,0.567,0.541,124.9,12.6,29.2,20.9,20.8,17.1,1,3.2,26,-2.7,1.3,111,100.8,10.2,399.3,25,2023
Robert Vaihola,SJSU,0.695,0.712,127.8,18.6,21.5,20,6,20.7,1.2,3.2,18.3,-5.7,1.6,122.9,101.2,21.6,288.8,25,2023
Parker Bjorklund,STTOM,0.574,0.548,153.6,8.7,17.6,13.1,11.6,9.3,0.8,1.8,29.4,-2,1.4,116,107.2,8.8,242.3,25,2023
Rienk Mast,BRDLY,0.577,0.556,160.7,9.7,24.6,17.3,18.1,13,1.3,2.2,25.3,-0.7,1.3,116.8,92.6,24.1,349.3,25,2023
Dain Dainja,ILL,0.62,0.636,116.1,12,20.1,16.1,5.5,16.4,2.1,5.8,22.6,-5.7,1.5,114,91.8,22.2,275.6,25,2023
Shemar Wilson,UTA,0.598,0.558,173,17.1,22.6,19.7,7.8,17,1.3,4.9,23.4,-5.9,1.6,115.7,96.2,19.5,232.3,24.9,2023
Marcellus Earlington,SAND,0.586,0.539,163.3,9.2,20.3,14.5,10.7,13.2,1.8,0.8,29.1,-4.2,1.4,115.3,112.1,3.2,321.6,24.9,2023
